Designator,Manufacturer Part Number,Description,Quantity
"R5","","RES SMD 15 kOhm 1/8W 0805","1"
"R6","","RES SMD 9.1 kOhm 1/8W 0805","1"
"R7","","RES SMD 2.7 kOhm 1/8W 0805","1"
"R8","","RES SMD 620 Ohm 1/8W 0805","1"
"R9, R10","","RES SMD 1 kOhm 1/8W 0805","2"
"R11","","RES SMD 120 Ohm 1/8W 0805","1"
"R12, R16","","RES SMD 10 kOhm 1/8W 0805","2"
"R13_MOSFET_IRF5401, R13_MOSFET_IRF5402, R13_MOSFET_IRF5403, R13_MOSFET_IRF5404, R13_MOSFET_IRF5405, R13_MOSFET_IRF5406, R15_MOSFET_IRLML00301, R15_MOSFET_IRLML00302, R15_MOSFET_IRLML00303, R15_MOSFET_IRLML00304, R15_MOSFET_IRLML00305, R15_MOSFET_IRLML00306","","RES SMD 100 Ohm 1/8W 0805","12"
"R14_MOSFET_IRF5401, R14_MOSFET_IRF5402, R14_MOSFET_IRF5403, R14_MOSFET_IRF5404, R14_MOSFET_IRF5405, R14_MOSFET_IRF5406, R17_MOSFET_IRLML00301, R17_MOSFET_IRLML00302, R17_MOSFET_IRLML00303, R17_MOSFET_IRLML00304, R17_MOSFET_IRLML00305, R17_MOSFET_IRLML00306","","RES SMD 4.7 kOhm 1/8W 0805","12"
"RXCAN1, TXCAN1","APT2012SGC","LED GREEN CLEAR 0805 SMD","2"
"SW1","","","1"
"U1","TPS54340","IC REG BUCK ADJ 3.5A 8SOPWRPAD","1"
"U2","SN65HVD230DR","IC EMC CAN TRANSCEIVER 8-SOIC","1"
"U3","LM2937-5","IC REG LINEAR 5V 400MA SOT223-4","1"
"U4_MOSFET_IRF5401, U4_MOSFET_IRF5402, U4_MOSFET_IRF5403, U4_MOSFET_IRF5404, U4_MOSFET_IRF5405, U4_MOSFET_IRF5406, U5_MOSFET_IRLML00301, U5_MOSFET_IRLML00302, U5_MOSFET_IRLML00303, U5_MOSFET_IRLML00304, U5_MOSFET_IRLML00305, U5_MOSFET_IRLML00306","MIC4416YM4-TR","IC DRIVER MOSF LOW SIDE SOT143-4","12"
"U6","TS5A23159","IC SWITCH DUAL SPDT 10MSOP","1"
"U7","MAX485","IC TXRX RS485/RS422 8-SOIC","1"
"uC","PIC32MK1024MCF064","IC MCU 32BIT 1MB FLASH 64TQFP","1"
"Y1","ABMM2-8.000MHZ-E2-T","CRYSTAL 8.0000MHZ 18PF SMD","1"
